,State,Year,Month,Crime Description,Crime Count
54,Andhra Pradesh,2022,10,BURGLARY,1.0
55,Andhra Pradesh,2023,2,BURGLARY,1.0
56,Andhra Pradesh,2023,4,BURGLARY,2.0
57,Andhra Pradesh,2023,7,BURGLARY,1.0
58,Andhra Pradesh,2023,9,BURGLARY,1.0
59,Andhra Pradesh,2020,1,COUNTERFEITING,2.0
60,Andhra Pradesh,2020,5,COUNTERFEITING,1.0
61,Andhra Pradesh,2020,6,COUNTERFEITING,1.0
62,Andhra Pradesh,2020,8,COUNTERFEITING,1.0
63,Andhra Pradesh,2020,11,COUNTERFEITING,1.0
64,Andhra Pradesh,2021,4,COUNTERFEITING,1.0
65,Andhra Pradesh,2021,12,COUNTERFEITING,1.0
66,Andhra Pradesh,2022,1,COUNTERFEITING,2.0
67,Andhra Pradesh,2022,3,COUNTERFEITING,1.0
68,Andhra Pradesh,2022,11,COUNTERFEITING,3.0
69,Andhra Pradesh,2023,5,COUNTERFEITING,1.0
70,Andhra Pradesh,2023,10,COUNTERFEITING,2.0
71,Andhra Pradesh,2023,12,COUNTERFEITING,1.0
72,Andhra Pradesh,2020,1,CYBERCRIME,2.0
73,Andhra Pradesh,2020,2,CYBERCRIME,1.0
74,Andhra Pradesh,2020,4,CYBERCRIME,1.0
75,Andhra Pradesh,2020,5,CYBERCRIME,1.0
76,Andhra Pradesh,2020,6,CYBERCRIME,2.0
77,Andhra Pradesh,2021,1,CYBERCRIME,1.0
78,Andhra Pradesh,2021,2,CYBERCRIME,2.0
79,Andhra Pradesh,2021,3,CYBERCRIME,1.0
80,Andhra Pradesh,2021,6,CYBERCRIME,2.0
81,Andhra Pradesh,2021,7,CYBERCRIME,1.0
82,Andhra Pradesh,2021,8,CYBERCRIME,1.0
83,Andhra Pradesh,2021,12,CYBERCRIME,2.0
84,Andhra Pradesh,2022,1,CYBERCRIME,1.0
85,Andhra Pradesh,2022,2,CYBERCRIME,2.0
86,Andhra Pradesh,2022,5,CYBERCRIME,2.0
87,Andhra Pradesh,2022,8,CYBERCRIME,1.0
88,Andhra Pradesh,2022,9,CYBERCRIME,1.0
89,Andhra Pradesh,2022,10,CYBERCRIME,2.0
90,Andhra Pradesh,2022,11,CYBERCRIME,2.0
91,Andhra Pradesh,2022,12,CYBERCRIME,1.0
92,Andhra Pradesh,2023,2,CYBERCRIME,1.0
93,Andhra Pradesh,2023,4,CYBERCRIME,1.0
94,Andhra Pradesh,2023,9,CYBERCRIME,1.0
95,Andhra Pradesh,2023,11,CYBERCRIME,1.0
96,Andhra Pradesh,2020,1,DOMESTIC VIOLENCE,1.0
97,Andhra Pradesh,2020,4,DOMESTIC VIOLENCE,1.0
98,Andhra Pradesh,2020,5,DOMESTIC VIOLENCE,1.0
99,Andhra Pradesh,2020,6,DOMESTIC VIOLENCE,1.0
100,Andhra Pradesh,2020,7,DOMESTIC VIOLENCE,1.0
101,Andhra Pradesh,2020,8,DOMESTIC VIOLENCE,1.0
102,Andhra Pradesh,2020,9,DOMESTIC VIOLENCE,3.0
103,Andhra Pradesh,2020,11,DOMESTIC VIOLENCE,1.0
104,Andhra Pradesh,2021,1,DOMESTIC VIOLENCE,2.0
105,Andhra Pradesh,2021,3,DOMESTIC VIOLENCE,1.0
106,Andhra Pradesh,2021,6,DOMESTIC VIOLENCE,2.0
107,Andhra Pradesh,2021,9,DOMESTIC VIOLENCE,1.0
108,Andhra Pradesh,2022,5,DOMESTIC VIOLENCE,1.0
109,Andhra Pradesh,2022,6,DOMESTIC VIOLENCE,1.0
110,Andhra Pradesh,2022,11,DOMESTIC VIOLENCE,3.0
111,Andhra Pradesh,2022,12,DOMESTIC VIOLENCE,1.0
112,Andhra Pradesh,2023,1,DOMESTIC VIOLENCE,3.0
113,Andhra Pradesh,2023,3,DOMESTIC VIOLENCE,1.0
114,Andhra Pradesh,2023,5,DOMESTIC VIOLENCE,1.0
115,Andhra Pradesh,2023,6,DOMESTIC VIOLENCE,1.0
116,Andhra Pradesh,2023,9,DOMESTIC VIOLENCE,1.0
117,Andhra Pradesh,2023,10,DOMESTIC VIOLENCE,2.0
118,Andhra Pradesh,2020,1,DRUG OFFENSE,1.0
119,Andhra Pradesh,2020,3,DRUG OFFENSE,3.0
120,Andhra Pradesh,2020,8,DRUG OFFENSE,2.0
121,Andhra Pradesh,2020,9,DRUG OFFENSE,1.0
122,Andhra Pradesh,2020,10,DRUG OFFENSE,2.0
123,Andhra Pradesh,2020,11,DRUG OFFENSE,1.0
124,Andhra Pradesh,2020,12,DRUG OFFENSE,1.0
125,Andhra Pradesh,2021,3,DRUG OFFENSE,1.0
126,Andhra Pradesh,2021,5,DRUG OFFENSE,1.0
127,Andhra Pradesh,2021,8,DRUG OFFENSE,1.0
128,Andhra Pradesh,2021,11,DRUG OFFENSE,1.0
129,Andhra Pradesh,2021,12,DRUG OFFENSE,1.0
130,Andhra Pradesh,2022,3,DRUG OFFENSE,1.0
131,Andhra Pradesh,2022,8,DRUG OFFENSE,1.0
132,Andhra Pradesh,2022,11,DRUG OFFENSE,2.0
133,Andhra Pradesh,2022,12,DRUG OFFENSE,1.0
134,Andhra Pradesh,2023,1,DRUG OFFENSE,1.0
135,Andhra Pradesh,2023,2,DRUG OFFENSE,1.0
136,Andhra Pradesh,2023,3,DRUG OFFENSE,1.0
137,Andhra Pradesh,2023,4,DRUG OFFENSE,1.0
138,Andhra Pradesh,2023,5,DRUG OFFENSE,3.0
139,Andhra Pradesh,2023,6,DRUG OFFENSE,1.0
140,Andhra Pradesh,2023,8,DRUG OFFENSE,2.0
141,Andhra Pradesh,2023,9,DRUG OFFENSE,2.0
142,Andhra Pradesh,2023,10,DRUG OFFENSE,2.0
143,Andhra Pradesh,2023,12,DRUG OFFENSE,2.0
144,Andhra Pradesh,2020,2,EXTORTION,1.0
145,Andhra Pradesh,2020,3,EXTORTION,1.0
146,Andhra Pradesh,2020,9,EXTORTION,1.0
147,Andhra Pradesh,2020,11,EXTORTION,2.0
148,Andhra Pradesh,2021,4,EXTORTION,1.0
149,Andhra Pradesh,2021,7,EXTORTION,1.0
150,Andhra Pradesh,2021,11,EXTORTION,1.0
151,Andhra Pradesh,2021,12,EXTORTION,1.0
152,Andhra Pradesh,2022,1,EXTORTION,1.0
153,Andhra Pradesh,2022,2,EXTORTION,1.0
154,Andhra Pradesh,2022,5,EXTORTION,2.0
155,Andhra Pradesh,2022,6,EXTORTION,2.0
156,Andhra Pradesh,2022,11,EXTORTION,1.0
157,Andhra Pradesh,2023,2,EXTORTION,2.0
158,Andhra Pradesh,2023,6,EXTORTION,1.0
159,Andhra Pradesh,2023,7,EXTORTION,1.0
160,Andhra Pradesh,2023,9,EXTORTION,1.0
161,Andhra Pradesh,2023,10,EXTORTION,1.0
162,Andhra Pradesh,2023,11,EXTORTION,1.0
163,Andhra Pradesh,2023,12,EXTORTION,1.0
164,Andhra Pradesh,2020,1,FIREARM OFFENSE,1.0
165,Andhra Pradesh,2020,4,FIREARM OFFENSE,1.0
166,Andhra Pradesh,2020,6,FIREARM OFFENSE,1.0
167,Andhra Pradesh,2020,7,FIREARM OFFENSE,2.0
168,Andhra Pradesh,2020,11,FIREARM OFFENSE,1.0
169,Andhra Pradesh,2020,12,FIREARM OFFENSE,2.0
170,Andhra Pradesh,2021,3,FIREARM OFFENSE,1.0
171,Andhra Pradesh,2021,5,FIREARM OFFENSE,1.0
172,Andhra Pradesh,2021,7,FIREARM OFFENSE,2.0
173,Andhra Pradesh,2021,8,FIREARM OFFENSE,1.0
174,Andhra Pradesh,2021,9,FIREARM OFFENSE,2.0
175,Andhra Pradesh,2021,10,FIREARM OFFENSE,1.0
176,Andhra Pradesh,2022,1,FIREARM OFFENSE,3.0
177,Andhra Pradesh,2022,5,FIREARM OFFENSE,1.0
178,Andhra Pradesh,2022,6,FIREARM OFFENSE,1.0
179,Andhra Pradesh,2022,8,FIREARM OFFENSE,2.0
180,Andhra Pradesh,2022,11,FIREARM OFFENSE,1.0
181,Andhra Pradesh,2022,12,FIREARM OFFENSE,1.0
182,Andhra Pradesh,2023,1,FIREARM OFFENSE,4.0
183,Andhra Pradesh,2023,3,FIREARM OFFENSE,3.0
184,Andhra Pradesh,2023,7,FIREARM OFFENSE,1.0
185,Andhra Pradesh,2023,10,FIREARM OFFENSE,1.0
186,Andhra Pradesh,2023,11,FIREARM OFFENSE,1.0
187,Andhra Pradesh,2020,1,FRAUD,1.0
188,Andhra Pradesh,2020,2,FRAUD,1.0
189,Andhra Pradesh,2020,6,FRAUD,1.0
190,Andhra Pradesh,2020,7,FRAUD,2.0
191,Andhra Pradesh,2020,9,FRAUD,1.0
192,Andhra Pradesh,2020,10,FRAUD,2.0
193,Andhra Pradesh,2020,12,FRAUD,1.0
194,Andhra Pradesh,2021,1,FRAUD,2.0
195,Andhra Pradesh,2021,3,FRAUD,3.0
196,Andhra Pradesh,2021,4,FRAUD,1.0
197,Andhra Pradesh,2021,5,FRAUD,3.0
198,Andhra Pradesh,2021,6,FRAUD,1.0
199,Andhra Pradesh,2021,8,FRAUD,1.0
200,Andhra Pradesh,2021,9,FRAUD,1.0
201,Andhra Pradesh,2022,1,FRAUD,1.0
202,Andhra Pradesh,2022,3,FRAUD,1.0
203,Andhra Pradesh,2022,4,FRAUD,1.0
204,Andhra Pradesh,2022,5,FRAUD,1.0
205,Andhra Pradesh,2022,8,FRAUD,1.0
206,Andhra Pradesh,2022,9,FRAUD,1.0
207,Andhra Pradesh,2022,11,FRAUD,1.0
208,Andhra Pradesh,2022,12,FRAUD,3.0
209,Andhra Pradesh,2023,1,FRAUD,1.0
210,Andhra Pradesh,2023,2,FRAUD,1.0
211,Andhra Pradesh,2023,4,FRAUD,2.0
212,Andhra Pradesh,2023,5,FRAUD,1.0
213,Andhra Pradesh,2023,8,FRAUD,1.0
214,Andhra Pradesh,2023,9,FRAUD,1.0
215,Andhra Pradesh,2020,1,HOMICIDE,1.0
216,Andhra Pradesh,2020,2,HOMICIDE,1.0
217,Andhra Pradesh,2020,3,HOMICIDE,2.0
218,Andhra Pradesh,2020,10,HOMICIDE,4.0
219,Andhra Pradesh,2020,11,HOMICIDE,1.0
220,Andhra Pradesh,2021,3,HOMICIDE,2.0
221,Andhra Pradesh,2021,7,HOMICIDE,1.0
222,Andhra Pradesh,2021,10,HOMICIDE,1.0
223,Andhra Pradesh,2021,11,HOMICIDE,1.0
224,Andhra Pradesh,2022,2,HOMICIDE,1.0
225,Andhra Pradesh,2022,8,HOMICIDE,1.0
226,Andhra Pradesh,2022,10,HOMICIDE,1.0
227,Andhra Pradesh,2022,12,HOMICIDE,1.0
228,Andhra Pradesh,2023,2,HOMICIDE,1.0
229,Andhra Pradesh,2023,6,HOMICIDE,2.0
230,Andhra Pradesh,2023,8,HOMICIDE,1.0
231,Andhra Pradesh,2023,11,HOMICIDE,1.0
232,Andhra Pradesh,2020,4,IDENTITY THEFT,1.0
233,Andhra Pradesh,2020,6,IDENTITY THEFT,1.0
234,Andhra Pradesh,2020,8,IDENTITY THEFT,1.0
235,Andhra Pradesh,2020,10,IDENTITY THEFT,1.0
236,Andhra Pradesh,2020,11,IDENTITY THEFT,1.0
237,Andhra Pradesh,2021,1,IDENTITY THEFT,2.0
238,Andhra Pradesh,2021,10,IDENTITY THEFT,1.0
239,Andhra Pradesh,2021,11,IDENTITY THEFT,1.0
240,Andhra Pradesh,2022,1,IDENTITY THEFT,1.0
241,Andhra Pradesh,2022,2,IDENTITY THEFT,2.0
242,Andhra Pradesh,2022,3,IDENTITY THEFT,2.0
243,Andhra Pradesh,2022,4,IDENTITY THEFT,1.0
244,Andhra Pradesh,2022,5,IDENTITY THEFT,1.0
245,Andhra Pradesh,2022,6,IDENTITY THEFT,1.0
246,Andhra Pradesh,2022,8,IDENTITY THEFT,1.0
247,Andhra Pradesh,2022,11,IDENTITY THEFT,1.0
248,Andhra Pradesh,2022,12,IDENTITY THEFT,1.0
249,Andhra Pradesh,2023,1,IDENTITY THEFT,3.0
250,Andhra Pradesh,2023,3,IDENTITY THEFT,1.0
251,Andhra Pradesh,2023,4,IDENTITY THEFT,1.0
252,Andhra Pradesh,2023,5,IDENTITY THEFT,1.0
253,Andhra Pradesh,2023,6,IDENTITY THEFT,2.0
254,Andhra Pradesh,2023,8,IDENTITY THEFT,1.0
255,Andhra Pradesh,2023,9,IDENTITY THEFT,1.0
256,Andhra Pradesh,2023,10,IDENTITY THEFT,2.0
257,Andhra Pradesh,2023,12,IDENTITY THEFT,1.0
258,Andhra Pradesh,2020,1,ILLEGAL POSSESSION,1.0
259,Andhra Pradesh,2020,2,ILLEGAL POSSESSION,1.0
260,Andhra Pradesh,2020,3,ILLEGAL POSSESSION,2.0
261,Andhra Pradesh,2020,7,ILLEGAL POSSESSION,2.0
262,Andhra Pradesh,2020,9,ILLEGAL POSSESSION,1.0
263,Andhra Pradesh,2020,10,ILLEGAL POSSESSION,1.0
264,Andhra Pradesh,2020,12,ILLEGAL POSSESSION,1.0
265,Andhra Pradesh,2021,4,ILLEGAL POSSESSION,2.0
266,Andhra Pradesh,2021,5,ILLEGAL POSSESSION,1.0
267,Andhra Pradesh,2021,10,ILLEGAL POSSESSION,2.0
268,Andhra Pradesh,2021,12,ILLEGAL POSSESSION,2.0
269,Andhra Pradesh,2022,1,ILLEGAL POSSESSION,1.0
270,Andhra Pradesh,2022,2,ILLEGAL POSSESSION,1.0
271,Andhra Pradesh,2022,5,ILLEGAL POSSESSION,1.0
272,Andhra Pradesh,2022,8,ILLEGAL POSSESSION,1.0
273,Andhra Pradesh,2022,9,ILLEGAL POSSESSION,1.0
274,Andhra Pradesh,2022,12,ILLEGAL POSSESSION,1.0
275,Andhra Pradesh,2023,1,ILLEGAL POSSESSION,1.0
276,Andhra Pradesh,2023,2,ILLEGAL POSSESSION,1.0
277,Andhra Pradesh,2023,6,ILLEGAL POSSESSION,2.0
278,Andhra Pradesh,2023,7,ILLEGAL POSSESSION,1.0
279,Andhra Pradesh,2023,12,ILLEGAL POSSESSION,1.0
280,Andhra Pradesh,2020,3,KIDNAPPING,2.0
281,Andhra Pradesh,2020,5,KIDNAPPING,1.0
282,Andhra Pradesh,2020,6,KIDNAPPING,4.0
283,Andhra Pradesh,2020,8,KIDNAPPING,1.0
284,Andhra Pradesh,2021,1,KIDNAPPING,2.0
285,Andhra Pradesh,2021,3,KIDNAPPING,2.0
286,Andhra Pradesh,2021,4,KIDNAPPING,1.0
287,Andhra Pradesh,2022,1,KIDNAPPING,1.0
288,Andhra Pradesh,2022,5,KIDNAPPING,2.0
289,Andhra Pradesh,2022,6,KIDNAPPING,2.0
290,Andhra Pradesh,2022,8,KIDNAPPING,2.0
291,Andhra Pradesh,2022,9,KIDNAPPING,1.0
292,Andhra Pradesh,2023,3,KIDNAPPING,1.0
293,Andhra Pradesh,2023,7,KIDNAPPING,1.0
294,Andhra Pradesh,2023,8,KIDNAPPING,1.0
295,Andhra Pradesh,2023,9,KIDNAPPING,1.0
296,Andhra Pradesh,2023,10,KIDNAPPING,1.0
297,Andhra Pradesh,2023,12,KIDNAPPING,1.0
298,Andhra Pradesh,2020,6,PUBLIC INTOXICATION,2.0
299,Andhra Pradesh,2020,8,PUBLIC INTOXICATION,1.0
300,Andhra Pradesh,2020,12,PUBLIC INTOXICATION,1.0
301,Andhra Pradesh,2021,2,PUBLIC INTOXICATION,1.0
302,Andhra Pradesh,2021,7,PUBLIC INTOXICATION,1.0
303,Andhra Pradesh,2021,11,PUBLIC INTOXICATION,2.0
304,Andhra Pradesh,2022,1,PUBLIC INTOXICATION,1.0
305,Andhra Pradesh,2022,2,PUBLIC INTOXICATION,1.0
306,Andhra Pradesh,2022,4,PUBLIC INTOXICATION,1.0
307,Andhra Pradesh,2022,5,PUBLIC INTOXICATION,1.0
308,Andhra Pradesh,2022,7,PUBLIC INTOXICATION,1.0
309,Andhra Pradesh,2023,1,PUBLIC INTOXICATION,2.0
310,Andhra Pradesh,2023,2,PUBLIC INTOXICATION,1.0
311,Andhra Pradesh,2023,4,PUBLIC INTOXICATION,1.0
312,Andhra Pradesh,2023,8,PUBLIC INTOXICATION,1.0
313,Andhra Pradesh,2023,10,PUBLIC INTOXICATION,1.0
314,Andhra Pradesh,2020,1,ROBBERY,1.0
315,Andhra Pradesh,2020,2,ROBBERY,1.0
316,Andhra Pradesh,2020,4,ROBBERY,1.0
317,Andhra Pradesh,2020,5,ROBBERY,1.0
318,Andhra Pradesh,2020,6,ROBBERY,2.0
319,Andhra Pradesh,2020,8,ROBBERY,2.0
320,Andhra Pradesh,2020,9,ROBBERY,2.0
321,Andhra Pradesh,2021,4,ROBBERY,2.0
322,Andhra Pradesh,2021,5,ROBBERY,2.0
323,Andhra Pradesh,2021,9,ROBBERY,1.0
324,Andhra Pradesh,2021,11,ROBBERY,1.0
325,Andhra Pradesh,2022,3,ROBBERY,1.0
326,Andhra Pradesh,2022,4,ROBBERY,1.0
327,Andhra Pradesh,2022,9,ROBBERY,1.0
328,Andhra Pradesh,2022,10,ROBBERY,1.0
329,Andhra Pradesh,2022,12,ROBBERY,1.0
330,Andhra Pradesh,2023,3,ROBBERY,1.0
331,Andhra Pradesh,2023,5,ROBBERY,1.0
332,Andhra Pradesh,2023,12,ROBBERY,1.0
333,Andhra Pradesh,2020,5,SEXUAL ASSAULT,2.0
334,Andhra Pradesh,2020,7,SEXUAL ASSAULT,1.0
335,Andhra Pradesh,2020,8,SEXUAL ASSAULT,1.0
336,Andhra Pradesh,2020,9,SEXUAL ASSAULT,2.0
337,Andhra Pradesh,2021,2,SEXUAL ASSAULT,2.0
338,Andhra Pradesh,2021,4,SEXUAL ASSAULT,1.0
339,Andhra Pradesh,2021,6,SEXUAL ASSAULT,1.0
340,Andhra Pradesh,2021,9,SEXUAL ASSAULT,1.0
341,Andhra Pradesh,2021,11,SEXUAL ASSAULT,1.0
342,Andhra Pradesh,2021,12,SEXUAL ASSAULT,2.0
343,Andhra Pradesh,2022,1,SEXUAL ASSAULT,1.0
344,Andhra Pradesh,2022,4,SEXUAL ASSAULT,2.0
345,Andhra Pradesh,2022,6,SEXUAL ASSAULT,1.0
346,Andhra Pradesh,2022,7,SEXUAL ASSAULT,1.0
347,Andhra Pradesh,2022,8,SEXUAL ASSAULT,1.0
348,Andhra Pradesh,2022,10,SEXUAL ASSAULT,2.0
349,Andhra Pradesh,2023,1,SEXUAL ASSAULT,1.0
350,Andhra Pradesh,2023,7,SEXUAL ASSAULT,1.0
351,Andhra Pradesh,2023,8,SEXUAL ASSAULT,1.0
352,Andhra Pradesh,2023,9,SEXUAL ASSAULT,1.0
353,Andhra Pradesh,2023,12,SEXUAL ASSAULT,1.0
354,Andhra Pradesh,2020,3,SHOPLIFTING,1.0
355,Andhra Pradesh,2020,4,SHOPLIFTING,1.0
356,Andhra Pradesh,2020,5,SHOPLIFTING,1.0
357,Andhra Pradesh,2020,6,SHOPLIFTING,1.0
358,Andhra Pradesh,2020,7,SHOPLIFTING,1.0
359,Andhra Pradesh,2020,10,SHOPLIFTING,1.0
360,Andhra Pradesh,2020,11,SHOPLIFTING,1.0
361,Andhra Pradesh,2021,2,SHOPLIFTING,2.0
362,Andhra Pradesh,2021,4,SHOPLIFTING,1.0
363,Andhra Pradesh,2021,6,SHOPLIFTING,1.0
364,Andhra Pradesh,2021,8,SHOPLIFTING,1.0
365,Andhra Pradesh,2021,10,SHOPLIFTING,1.0
366,Andhra Pradesh,2022,6,SHOPLIFTING,1.0
367,Andhra Pradesh,2022,7,SHOPLIFTING,1.0
368,Andhra Pradesh,2022,8,SHOPLIFTING,1.0
369,Andhra Pradesh,2023,4,SHOPLIFTING,1.0
370,Andhra Pradesh,2023,5,SHOPLIFTING,1.0
371,Andhra Pradesh,2023,8,SHOPLIFTING,1.0
372,Andhra Pradesh,2020,4,TRAFFIC VIOLATION,1.0
373,Andhra Pradesh,2020,5,TRAFFIC VIOLATION,1.0
374,Andhra Pradesh,2020,6,TRAFFIC VIOLATION,2.0
375,Andhra Pradesh,2020,7,TRAFFIC VIOLATION,2.0
376,Andhra Pradesh,2020,8,TRAFFIC VIOLATION,1.0
377,Andhra Pradesh,2020,9,TRAFFIC VIOLATION,1.0
378,Andhra Pradesh,2020,10,TRAFFIC VIOLATION,1.0
379,Andhra Pradesh,2020,12,TRAFFIC VIOLATION,2.0
380,Andhra Pradesh,2021,1,TRAFFIC VIOLATION,2.0
381,Andhra Pradesh,2021,2,TRAFFIC VIOLATION,1.0
382,Andhra Pradesh,2021,3,TRAFFIC VIOLATION,1.0
383,Andhra Pradesh,2021,4,TRAFFIC VIOLATION,1.0
384,Andhra Pradesh,2021,7,TRAFFIC VIOLATION,2.0
385,Andhra Pradesh,2021,8,TRAFFIC VIOLATION,1.0
386,Andhra Pradesh,2021,9,TRAFFIC VIOLATION,1.0
387,Andhra Pradesh,2021,11,TRAFFIC VIOLATION,1.0
388,Andhra Pradesh,2021,12,TRAFFIC VIOLATION,2.0
389,Andhra Pradesh,2022,1,TRAFFIC VIOLATION,2.0
390,Andhra Pradesh,2022,2,TRAFFIC VIOLATION,2.0
391,Andhra Pradesh,2022,4,TRAFFIC VIOLATION,1.0
392,Andhra Pradesh,2022,6,TRAFFIC VIOLATION,1.0
393,Andhra Pradesh,2022,7,TRAFFIC VIOLATION,1.0
394,Andhra Pradesh,2022,8,TRAFFIC VIOLATION,2.0
395,Andhra Pradesh,2022,9,TRAFFIC VIOLATION,1.0
396,Andhra Pradesh,2022,11,TRAFFIC VIOLATION,1.0
397,Andhra Pradesh,2023,2,TRAFFIC VIOLATION,1.0
398,Andhra Pradesh,2023,5,TRAFFIC VIOLATION,1.0
399,Andhra Pradesh,2023,9,TRAFFIC VIOLATION,1.0
400,Andhra Pradesh,2023,12,TRAFFIC VIOLATION,1.0
401,Andhra Pradesh,2020,1,VANDALISM,1.0
402,Andhra Pradesh,2020,3,VANDALISM,2.0
403,Andhra Pradesh,2020,5,VANDALISM,4.0
404,Andhra Pradesh,2020,7,VANDALISM,3.0
405,Andhra Pradesh,2020,9,VANDALISM,1.0
406,Andhra Pradesh,2020,12,VANDALISM,1.0
407,Andhra Pradesh,2021,1,VANDALISM,1.0
408,Andhra Pradesh,2021,2,VANDALISM,1.0
409,Andhra Pradesh,2021,4,VANDALISM,1.0
410,Andhra Pradesh,2021,6,VANDALISM,1.0
411,Andhra Pradesh,2021,10,VANDALISM,1.0
412,Andhra Pradesh,2021,11,VANDALISM,1.0
413,Andhra Pradesh,2022,3,VANDALISM,3.0
414,Andhra Pradesh,2022,4,VANDALISM,1.0
415,Andhra Pradesh,2022,5,VANDALISM,1.0
416,Andhra Pradesh,2022,8,VANDALISM,1.0
417,Andhra Pradesh,2022,11,VANDALISM,1.0
418,Andhra Pradesh,2022,12,VANDALISM,1.0
419,Andhra Pradesh,2023,1,VANDALISM,2.0
420,Andhra Pradesh,2023,2,VANDALISM,1.0
421,Andhra Pradesh,2023,6,VANDALISM,1.0
422,Andhra Pradesh,2023,7,VANDALISM,1.0
423,Andhra Pradesh,2023,8,VANDALISM,3.0
424,Andhra Pradesh,2023,9,VANDALISM,3.0
425,Andhra Pradesh,2023,10,VANDALISM,1.0
426,Andhra Pradesh,2023,11,VANDALISM,1.0
427,Andhra Pradesh,2020,1,VEHICLE - STOLEN,1.0
428,Andhra Pradesh,2020,5,VEHICLE - STOLEN,2.0
429,Andhra Pradesh,2020,6,VEHICLE - STOLEN,1.0
430,Andhra Pradesh,2020,9,VEHICLE - STOLEN,1.0
431,Andhra Pradesh,2020,10,VEHICLE - STOLEN,3.0
432,Andhra Pradesh,2021,1,VEHICLE - STOLEN,
433,Andhra Pradesh,2021,2,VEHICLE - STOLEN,1.0
434,Andhra Pradesh,2021,4,VEHICLE - STOLEN,1.0
435,Andhra Pradesh,2021,7,VEHICLE - STOLEN,1.0
436,Andhra Pradesh,2021,8,VEHICLE - STOLEN,1.0
437,Andhra Pradesh,2021,9,VEHICLE - STOLEN,1.0
438,Andhra Pradesh,2021,12,VEHICLE - STOLEN,2.0
439,Andhra Pradesh,2022,1,VEHICLE - STOLEN,1.0
440,Andhra Pradesh,2022,3,VEHICLE - STOLEN,1.0
441,Andhra Pradesh,2022,6,VEHICLE - STOLEN,1.0
442,Andhra Pradesh,2022,7,VEHICLE - STOLEN,1.0
443,Andhra Pradesh,2022,8,VEHICLE - STOLEN,1.0
444,Andhra Pradesh,2022,9,VEHICLE - STOLEN,1.0
445,Andhra Pradesh,2022,10,VEHICLE - STOLEN,1.0
446,Andhra Pradesh,2022,11,VEHICLE - STOLEN,2.0
447,Andhra Pradesh,2023,1,VEHICLE - STOLEN,1.0
448,Andhra Pradesh,2023,4,VEHICLE - STOLEN,1.0
449,Andhra Pradesh,2023,7,VEHICLE - STOLEN,1.0
